smear,mass,thres,Z
0.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.853179436624530885e+00
0.000000000000000000e+00,1.000000000000000000e+00,6.399999999999999023e-01,1.862131932328296768e+00
0.000000000000000000e+00,1.000000000000000000e+00,6.799999999999999378e-01,1.888920623493268280e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.199999999999999734e-01,1.878723992225208139e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.599999999999998979e-01,1.884312052534419024e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.999999999999999334e-01,1.840022358427222837e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.399999999999998579e-01,1.669976834230188611e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.799999999999998934e-01,1.192667452293686203e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999289e-01,2.700403144874319872e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,2.848492677395046344e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000083e-02,1.456718380446638372e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999998779e-02,1.475063894984536272e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,1.487256068550470767e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.599999999999999756e-01,1.494529162276819312e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.999999999999999833e-01,1.512817479457575054e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.399999999999999634e-01,1.583102828943860452e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.799999999999999711e-01,1.642416953360062992e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.199999999999999512e-01,1.701540150905069382e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999312e-01,1.725939992038139748e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.999999999999999112e-01,1.739684742284441477e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.399999999999998912e-01,1.756113057896121488e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.799999999999999267e-01,1.777432625568899471e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.199999999999999067e-01,1.792179731775085605e+00
