smear,mass,thres,Z
1.000000000000000000e+00,2.000000000000000111e-01,5.599999999999999423e-01,1.797252303809821372e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.999999999999999778e-01,1.784800050280893835e+00
1.000000000000000000e+00,2.000000000000000111e-01,6.399999999999999023e-01,1.772790123311085875e+00
1.000000000000000000e+00,2.000000000000000111e-01,6.799999999999999378e-01,1.718047731129578537e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.199999999999999734e-01,1.601350527277126012e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.599999999999998979e-01,1.385336820377345290e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.999999999999999334e-01,1.041574908366532659e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.399999999999998579e-01,6.624110523261879102e-01
1.000000000000000000e+00,2.000000000000000111e-01,8.799999999999998934e-01,3.267579976626570071e-01
1.000000000000000000e+00,2.000000000000000111e-01,9.199999999999999289e-01,1.022468370666326648e-01
1.000000000000000000e+00,2.000000000000000111e-01,9.599999999999999645e-01,3.140652467186579727e-02
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000083e-02,1.446503810768936749e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.999999999999998779e-02,1.457470479548774955e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,1.469888476751896489e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.599999999999999756e-01,1.472192159863477956e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.999999999999999833e-01,1.491114327982469900e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.399999999999999634e-01,1.553645051830306212e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.799999999999999711e-01,1.604649275782562778e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.199999999999999512e-01,1.641144039699452328e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999312e-01,1.662593516983057240e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.999999999999999112e-01,1.680976219242156677e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.399999999999998912e-01,1.688568491384501380e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.799999999999999267e-01,1.706897390753212562e+00
