# smearing, mass, nbins, fpr, tpr, overlapping
1.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+01 1.212000000000000022e-01 1.824000000000000066e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+01 9.099999999999999756e-02 1.350000000000000089e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 1.000000000000000000e+02 7.190000000000000557e-02 1.087000000000000050e-01 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 1.200000000000000000e+02 6.049999999999999822e-02 8.859999999999999820e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 1.500000000000000000e+02 4.839999999999999858e-02 7.069999999999999896e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 2.000000000000000000e+02 3.540000000000000091e-02 5.210000000000000048e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e+02 2.850000000000000103e-02 4.179999999999999688e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 3.000000000000000000e+02 2.359999999999999945e-02 3.509999999999999926e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 3.500000000000000000e+02 2.060000000000000026e-02 2.999999999999999889e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 4.000000000000000000e+02 1.799999999999999864e-02 2.620000000000000107e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 4.500000000000000000e+02 1.619999999999999912e-02 2.290000000000000022e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 5.000000000000000000e+02 1.439999999999999961e-02 2.069999999999999965e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 6.000000000000000000e+02 1.239999999999999956e-02 1.849999999999999908e-02 3.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000111e-01 8.000000000000000000e+02 8.699999999999999400e-03 1.400000000000000029e-02 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 9.723000000000000531e-01 1.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 6.389000000000000234e-01 9.982999999999999652e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+01 4.509000000000000230e-01 9.882999999999999563e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+01 3.435000000000000275e-01 9.670999999999999597e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 3.500000000000000000e+01 1.990000000000000102e-01 8.304000000000000270e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+01 1.751999999999999946e-01 7.783999999999999808e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+01 1.393000000000000071e-01 6.821000000000000396e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+01 1.137999999999999984e-01 6.005000000000000338e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+01 8.490000000000000324e-02 4.696000000000000174e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+02 6.959999999999999520e-02 3.835000000000000075e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+02 5.790000000000000008e-02 3.226999999999999869e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+02 4.549999999999999878e-02 2.589000000000000190e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+02 3.370000000000000079e-02 1.907000000000000084e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e+02 2.829999999999999877e-02 1.524000000000000077e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+02 2.359999999999999945e-02 1.270000000000000018e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 3.500000000000000000e+02 2.069999999999999965e-02 1.100000000000000006e-01 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+02 1.839999999999999969e-02 9.619999999999999385e-02 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 4.500000000000000000e+02 1.569999999999999868e-02 8.240000000000000102e-02 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+02 1.460000000000000013e-02 7.439999999999999392e-02 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+02 1.290000000000000001e-02 6.289999999999999758e-02 3.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+02 9.799999999999999684e-03 4.669999999999999846e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 9.688999999999999835e-01 9.993999999999999551e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 6.619000000000000439e-01 9.808000000000000052e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+01 4.671000000000000152e-01 9.261000000000000343e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+01 3.564999999999999836e-01 8.417000000000000037e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 3.500000000000000000e+01 2.053999999999999992e-01 5.937000000000000055e-01 3.000000000000000000e+00
